epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0453,1.97891,10.345,1.51021,0.54351,0.21257,0.3075,0.22707,1.99429,7.63298,1.58884,8.75e-05,8.75e-05,8.75e-05
2,56.4803,1.78009,8.82723,1.46208,0.44681,0.5119,0.54499,0.27446,2.06049,4.61493,1.59374,0.000186572,0.000186572,0.000186572
3,65.2363,1.31158,3.09049,1.25276,0.82221,0.794,0.87963,0.55744,1.51879,5.06086,1.36264,0.000284654,0.000284654,0.000284654
4,74.9748,1.23542,2.70369,1.20472,0.92268,0.71429,0.75362,0.47392,1.44323,9.05097,1.34554,0.000381746,0.000381746,0.000381746
5,82.4279,1.19159,1.97879,1.19228,0.92878,0.79008,0.88643,0.57342,1.3743,4.68678,1.3637,0.000477848,0.000477848,0.000477848
6,90.5199,1.36932,1.88639,1.2739,0.88259,0.71429,0.82439,0.53139,1.42394,2.98671,1.24403,0.000572959,0.000572959,0.000572959
7,98.2342,1.21079,1.54688,1.19986,0.75371,0.75059,0.80242,0.42181,1.63612,1.82716,1.372,0.000667081,0.000667081,0.000667081
8,105.603,1.18695,1.3341,1.16988,0.62734,0.70281,0.76408,0.51032,1.41196,1.90182,1.26786,0.000760213,0.000760213,0.000760213
9,112.373,1.24056,1.29083,1.20874,0.90342,0.86806,0.93741,0.608,1.5114,1.1373,1.35541,0.000852355,0.000852355,0.000852355
10,119.487,1.24101,1.30808,1.25025,0.92334,0.77381,0.89588,0.59401,1.40408,1.27434,1.3457,0.000943507,0.000943507,0.000943507
11,126.752,1.27047,1.40434,1.23393,0.53372,0.70703,0.62652,0.43348,1.69726,1.86648,1.73023,0.00103367,0.00103367,0.00103367
12,133.659,1.22585,1.42758,1.18274,0.82971,0.63942,0.61696,0.44117,1.41632,1.971,1.46752,0.00112284,0.00112284,0.00112284
13,140.149,1.27797,1.22441,1.19052,0.60361,0.75406,0.59048,0.37584,1.67153,1.42271,1.69409,0.00117575,0.00117575,0.00117575
14,147.192,1.20302,1.00885,1.22496,0.6809,0.75663,0.80479,0.45388,1.67035,1.19649,1.61433,0.00116956,0.00116956,0.00116956
15,154.089,1.1004,0.92619,1.14007,0.68726,0.72888,0.67974,0.40083,1.59023,1.5727,1.59882,0.00116337,0.00116337,0.00116337
16,161.062,1.18518,0.97408,1.15926,0.82619,0.50367,0.63213,0.41737,1.70426,1.99829,1.82324,0.00115719,0.00115719,0.00115719
17,167.901,1.14124,0.8745,1.20028,0.72444,0.5119,0.56877,0.34485,1.63875,2.1954,1.78161,0.001151,0.001151,0.001151
18,174.949,1.12797,0.88987,1.20096,0.82992,0.80952,0.81882,0.56952,1.27952,1.67924,1.37192,0.00114481,0.00114481,0.00114481
19,182.326,1.09535,0.83916,1.1271,0.86194,0.7844,0.84897,0.59899,1.21334,2.02784,1.34879,0.00113863,0.00113863,0.00113863
20,189.582,1.14936,0.91287,1.15058,0.93397,0.79144,0.82724,0.46715,1.52751,1.99604,1.54492,0.00113244,0.00113244,0.00113244
21,196.906,1.1556,0.87321,1.17398,0.88641,0.80952,0.86294,0.50439,1.40203,1.377,1.39125,0.00112625,0.00112625,0.00112625
22,203.129,1.07153,0.78982,1.16131,0.94556,0.81988,0.92015,0.57458,1.29311,1.28146,1.34535,0.00112006,0.00112006,0.00112006
23,210.253,1.06498,0.78675,1.1335,0.89618,0.83444,0.9075,0.57846,1.43896,1.04568,1.47803,0.00111388,0.00111388,0.00111388
24,216.649,1.09585,0.9326,1.14525,0.91577,0.72619,0.86125,0.54347,1.40551,1.2051,1.44591,0.00110769,0.00110769,0.00110769
25,223.866,1.16481,1.00465,1.22965,0.95283,0.83199,0.9547,0.56061,1.55713,0.86504,1.53274,0.0011015,0.0011015,0.0011015
26,230.804,1.07906,0.7715,1.14017,0.94264,0.81589,0.93026,0.57934,1.35103,0.89616,1.3867,0.00109531,0.00109531,0.00109531
27,237.423,1.12614,0.84323,1.15845,0.92867,0.90476,0.92392,0.62523,1.38605,0.99997,1.36994,0.00108913,0.00108913,0.00108913
28,244.593,1.12136,0.83252,1.14107,0.88777,0.81435,0.89087,0.54155,1.46702,1.04094,1.45591,0.00108294,0.00108294,0.00108294
29,251.525,1.0468,0.80298,1.15831,0.86404,0.82143,0.82261,0.48717,1.32141,1.44683,1.36853,0.00107675,0.00107675,0.00107675
30,258.256,1.08598,0.74165,1.14621,0.90531,0.82143,0.82691,0.52417,1.22279,1.08917,1.29914,0.00107056,0.00107056,0.00107056
31,265.204,1.09699,0.72934,1.14717,0.90722,0.89393,0.89927,0.56075,1.35061,0.92188,1.35849,0.00106437,0.00106437,0.00106437
32,272.318,1.07388,0.77376,1.16907,0.89435,0.9101,0.95886,0.59871,1.35656,0.728,1.33579,0.00105819,0.00105819,0.00105819
33,279.135,1.01683,0.69284,1.12431,0.88501,0.95238,0.96222,0.58954,1.30508,0.74749,1.26112,0.001052,0.001052,0.001052
34,286.631,1.05903,0.74718,1.13067,0.80182,0.95238,0.94601,0.52491,1.45673,0.89706,1.35605,0.00104581,0.00104581,0.00104581
35,293.201,1.09855,0.74052,1.19682,0.77855,0.89638,0.94,0.58332,1.44906,0.95177,1.40938,0.00103962,0.00103962,0.00103962
36,300.54,0.9736,0.64659,1.08729,0.79904,1,0.91859,0.55112,1.42342,0.97089,1.41617,0.00103344,0.00103344,0.00103344
37,307.006,1.04852,0.74696,1.11266,0.95292,0.90476,0.97426,0.602,1.31891,0.88235,1.34864,0.00102725,0.00102725,0.00102725
38,314.49,1.0088,0.67877,1.10317,0.96317,0.93889,0.97803,0.65288,1.2818,0.80058,1.25969,0.00102106,0.00102106,0.00102106
39,321.162,1.05191,0.68068,1.10537,0.97532,0.95238,0.97803,0.61681,1.33912,0.90046,1.36527,0.00101488,0.00101488,0.00101488
40,328.023,1.08567,0.71295,1.11996,0.93674,0.8914,0.96247,0.60867,1.34975,0.81079,1.2861,0.00100869,0.00100869,0.00100869
41,335.173,1.04242,0.71764,1.10177,0.84382,0.85714,0.89708,0.55912,1.37046,1.02044,1.32102,0.0010025,0.0010025,0.0010025
42,341.815,1.068,0.72786,1.1248,0.77692,0.94928,0.89083,0.57319,1.39559,0.81935,1.42946,0.000996313,0.000996313,0.000996313
43,349.113,1.00254,0.65531,1.08683,0.82667,0.93529,0.9281,0.62971,1.29961,0.7814,1.36995,0.000990125,0.000990125,0.000990125
44,355.837,1.02568,0.68042,1.11582,0.83921,0.73542,0.87693,0.5409,1.47304,0.94739,1.45278,0.000983938,0.000983938,0.000983938
45,363.178,1.04106,0.65875,1.10108,0.57078,0.89555,0.92525,0.57084,1.34221,1.42322,1.36211,0.00097775,0.00097775,0.00097775
46,370.43,0.92411,0.58457,1.06091,0.71933,0.872,0.93118,0.57345,1.35816,1.05359,1.34816,0.000971562,0.000971562,0.000971562
47,377.956,1.03072,0.73921,1.12776,0.79356,0.99386,0.97426,0.64042,1.32685,0.95373,1.36563,0.000965375,0.000965375,0.000965375
48,384.549,1.02489,0.71635,1.09547,0.95046,0.91323,0.98917,0.64902,1.31011,0.79986,1.33661,0.000959187,0.000959187,0.000959187
49,391.841,0.96111,0.63026,1.10343,0.86902,0.89818,0.90419,0.62508,1.29559,0.78818,1.32405,0.000953,0.000953,0.000953
50,398.218,0.99175,0.65187,1.10098,0.95102,0.89568,0.96344,0.59701,1.35224,0.85372,1.33147,0.000946812,0.000946812,0.000946812
51,405.449,1.04083,0.7029,1.13854,0.96055,0.89896,0.93839,0.59673,1.43411,0.73168,1.39263,0.000940625,0.000940625,0.000940625
52,412.151,1.03328,0.85343,1.15707,0.93008,0.89672,0.96106,0.6097,1.42106,0.73256,1.37346,0.000934438,0.000934438,0.000934438
53,419.132,0.91702,0.57639,1.0555,0.83077,0.94536,0.95767,0.57604,1.45936,0.78799,1.41582,0.00092825,0.00092825,0.00092825
54,426.306,0.97818,0.67306,1.06144,0.96232,0.81943,0.87681,0.56173,1.4416,1.0406,1.42945,0.000922063,0.000922063,0.000922063
55,433.137,0.94492,0.59852,1.02825,0.94582,0.94571,0.981,0.63019,1.36606,0.68033,1.35393,0.000915875,0.000915875,0.000915875
56,440.186,1.04164,0.65511,1.16439,0.96143,0.91945,0.98917,0.66626,1.20001,0.65204,1.25654,0.000909688,0.000909688,0.000909688
57,447.066,1.03131,0.59441,1.13423,0.88894,0.8523,0.91005,0.57878,1.37579,0.69862,1.3716,0.0009035,0.0009035,0.0009035
